show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
80117401,Movie,Jandino: Whatever it Takes,Unknown,Jandino Asporaat,United Kingdom,September 9  2016,2016,TV-MA,94 min,Stand-Up Comedy,Jandino Asporaat riffs on the challenges of raising kids and serenades the audience with a rousing rendition of "Sex on Fire" in his comedy show.
80058654,TV Show,Transformers: Robots in Disguise,Unknown,Will Friedle  Darren Criss  Constance Zimmer  Khary Payton  Mitchell Whitfield  Stuart Allan  Ted McGinley  Peter Cullen,United States,September 8  2018,2016,TV-Y7,1 Season,Kids' TV,When a prison ship crash unleashes hundreds of Decepticons on Earth  Bumblebee leads a new Autobot force to protect humankind.
80125979,Movie,#realityhigh,Fernando Lebrija,Nesta Cooper  Kate Walsh  John Michael Higgins  Keith Powers  Alicia Sanz  Jake Borelli  Kid Ink  Yousef Erakat  Rebekah Graf  Anne Winters  Peter Gilroy  Patrick Davis,United States,September 8  2017,2017,TV-14,99 min,Comedies,When nerdy high schooler Dani finally attracts the interest of her longtime crush  she lands in the cross hairs of his ex  a social media celebrity.
80163890,TV Show,Apaches,Unknown,Alberto Ammann  Eloy Azorín  Verónica Echegui  Lucía Jiménez  Claudia Traisac,Spain,September 8  2017,2016,TV-MA,1 Season,Crime TV Shows  International TV Shows  Spanish-Language TV Shows,A young journalist is forced into a life of crime to save his father and family in this series based on the novel by Miguel Sáez Carral.
80164077,Movie,Fabrizio Copano: Solo pienso en mi,Rodrigo Toro  Francisco Schultz,Fabrizio Copano,Chile,September 8  2017,2017,TV-MA,60 min,Stand-Up Comedy,Fabrizio Copano takes audience participation to the next level in this stand-up set while reflecting on sperm banks  family WhatsApp groups and more.
80117902,TV Show,Fire Chasers,Unknown,Unknown,United States,September 8  2017,2017,TV-MA,1 Season,Docuseries  Science & Nature TV,As California's 2016 fire season rages  brave backcountry firefighters race to put out the flames  protect homes and save lives in this docuseries.
80169755,Movie,Joaquín Reyes: Una y no más,José Miguel Contreras,Joaquín Reyes,Unknown,September 8  2017,2017,TV-MA,78 min,Stand-Up Comedy,Comedian and celebrity impersonator Joaquín Reyes decides to be his zesty self for a night of stories about buses  bathroom habits  royalty and more.
80182483,Movie,Krish Trish and Baltiboy: Battle of Wits,Munjal Shroff  Tilak Shetty,Damandeep Singh Baggan  Smita Malhotra  Baba Sehgal  Deepak Chachra,Unknown,September 8  2017,2013,TV-Y7,62 min,Children & Family Movies,An artisan is cheated of his payment  a lion of his throne and a brother of his inheritance in these three stories of deception and justice.
80182596,Movie,Krish Trish and Baltiboy: Best Friends Forever,Munjal Shroff  Tilak Shetty,Damandeep Singh Baggan  Smita Malhotra  Deepak Chachra,Unknown,September 8  2017,2016,TV-Y,65 min,Children & Family Movies,A cat  monkey and donkey team up to narrate folktales about friendship from Northeast India  and the Indian regions of Bihar and Rajasthan.
80182482,Movie,Krish Trish and Baltiboy: Comics of India,Tilak Shetty,Damandeep Singh Baggan  Smita Malhotra  Baba Sehgal,Unknown,September 8  2017,2012,TV-Y7,61 min,Children & Family Movies,In three comic-strip-style tales  a boy tries to sell wisdom  a demon is released from captivity  and a king assigns impossible tasks to his minister.
80182597,Movie,Krish Trish and Baltiboy: Oversmartness Never Pays,Tilak Shetty,Rishi Gambhir  Smita Malhotra  Deepak Chachra,Unknown,September 8  2017,2017,TV-Y7,65 min,Children & Family Movies,A cat  monkey and donkey learn the consequences of cheating through stories from the Indian regions of Rajasthan  West Bengal and Maharashtra.
80182621,Movie,Krish Trish and Baltiboy: The Greatest Trick,Munjal Shroff  Tilak Shetty,Damandeep Singh Baggan  Smita Malhotra  Baba Sehgal,Unknown,September 8  2017,2013,TV-Y7,60 min,Children & Family Movies,The consequences of trickery are explored in stories involving an inconsiderate husband  two greedy courtiers  and a kind man who loses everything.
80057969,Movie,Love,Gaspar Noé,Karl Glusman  Klara Kristin  Aomi Muyock  Ugo Fox  Juan Saavedra  Gaspar Noé  Isabelle Nicou  Benoît Debie  Vincent Maraval  Déborah Révy,France  Belgium,September 8  2017,2015,NR,135 min,Cult Movies  Dramas  Independent Movies,A man in an unsatisfying marriage recalls the details of an intense past relationship with an ex-girlfriend when he gets word that she may be missing.
